Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
CORVALLISOREGON.GOV,City,Non-Federal Agency,Corvallis,OR,44.56456874,-123.2620371
CORYDON-IN.GOV,City,Non-Federal Agency,Corydon,IN,38.21200995,-86.12191879
COSMOPOLISWA.GOV,City,Non-Federal Agency,Cosmopolis,WA,46.95536858,-123.7737766
COSPRINGS.GOV,City,Non-Federal Agency,Colorado Springs,CO,38.83387727,-104.8213594
COSTAMESACA.GOV,City,Non-Federal Agency,Costa Mesa,CA,33.64112656,-117.9186667
COTTAGECITYMD.GOV,City,Non-Federal Agency,Cottage City,MD,38.93816901,-76.94830833
COTTONWOODAZ.GOV,City,Non-Federal Agency,Cottonwood,AZ,34.73918662,-112.0098765
COVENTRYRI.GOV,City,Non-Federal Agency,Coventry,RI,41.70009592,-71.68283958
COVINACA.GOV,City,Non-Federal Agency,Covina,CA,34.09000673,-117.8903372
COVINGTON-OH.GOV,City,Non-Federal Agency,COVINGTON ,OH,40.11726688,-84.35383668
COVINGTONKY.GOV,City,Non-Federal Agency,Covington,KY,39.0836681,-84.50854645
COVINGTONWA.GOV,City,Non-Federal Agency,Covington,WA,47.35817734,-122.1221577
CRANBERRYISLES-ME.GOV,City,Non-Federal Agency,Islesford,ME,44.26202908,-68.23389563
CRAWFORDSVILLE-IN.GOV,City,Non-Federal Agency,Crawfordsville,IN,40.04114714,-86.87444551
CREDITRIVER-MN.GOV,City,Non-Federal Agency,Prior Lake,MN,44.71329854,-93.42272793
CRESTONIOWA.GOV,City,Non-Federal Agency,Creston,IA,41.05859685,-94.36134914
CRETE-NE.GOV,City,Non-Federal Agency,Crete,NE,40.62777808,-96.96141641
CREVECOEURMO.GOV,City,Non-Federal Agency,Creve Coeur,MO,38.66088562,-90.42261915
CROSSROADSTX.GOV,City,Non-Federal Agency,Crossroads,TX,31.56513678,-101.6073396
CROSSVILLETN.GOV,City,Non-Federal Agency,Crossville,TN,35.94895827,-85.02689596
CROTONONHUDSON-NY.GOV,City,Non-Federal Agency,Croton-On-Hudson,NY,41.20842905,-73.89124811
CRYSTALMN.GOV,City,Non-Federal Agency,Crystal,MN,45.03273869,-93.36022847
CUBAASSESSORIL.GOV,City,Non-Federal Agency,Barrington,IL,42.15390765,-88.13618754
CUBATWPIL.GOV,City,Non-Federal Agency,Barrington,IL,42.15390765,-88.13618754
CUDAHY-WI.GOV,City,Non-Federal Agency,Cudahy,WI,42.95973665,-87.86146892
CULPEPERVA.GOV,City,Non-Federal Agency,Culpeper,VA,38.47317577,-77.9966568
CUMBERLANDMD.GOV,City,Non-Federal Agency,Cumberland,MD,39.65286759,-78.76251584
CUMMINGTON-MA.GOV,City,Non-Federal Agency,Cummington,MA,42.46174784,-72.8939791
CUTLERBAY-FL.GOV,City,Non-Federal Agency,Cutler Bay,FL,25.57829654,-80.33769556
DACULAGA.GOV,City,Non-Federal Agency,Dacula,GA,33.98871622,-83.89795963
DAHLONEGA-GA.GOV,City,Non-Federal Agency,Dahlonega,GA,34.53258745,-83.98490992
DALHARTTX.GOV,City,Non-Federal Agency,Dalhart,TX,36.05947746,-102.5132488
DALLAS-GA.GOV,City,Non-Federal Agency,Dallas,GA,33.92370598,-84.84076997
DALLASCITYHALL-TX.GOV,City,Non-Federal Agency,Dallas,TX,32.7830572,-96.80666614
DALLASOR.GOV,City,Non-Federal Agency,Dallas,OR,44.91927676,-123.3170492
DALLASOREGON.GOV,City,Non-Federal Agency,Dallas,OR,44.91927676,-123.3170492
DALTON-MA.GOV,City,Non-Federal Agency,Dalton,MA,42.47369878,-73.16620945
DAMASCUSOREGON.GOV,City,Non-Federal Agency,Damascus,OR,45.41761654,-122.4589798
DANBURY-CT.GOV,City,Non-Federal Agency,Danbury,CT,41.39481601,-73.45400841
DANDRIDGETN.GOV,City,Non-Federal Agency,Dandridge,TN,36.01536788,-83.414887
DANIABEACHFL.GOV,City,Non-Federal Agency,DANIA BEACH,FL,26.05230698,-80.14392926
DANVERSMA.GOV,City,Non-Federal Agency,Danvers,MA,42.57508828,-70.93004738
DANVILLE-VA.GOV,City,Non-Federal Agency,Danville,VA,36.58596674,-79.39501572
DANVILLEVA.GOV,City,Non-Federal Agency,Danville,VA,36.58596674,-79.39501572
DARIENCT.GOV,City,Non-Federal Agency,Darien,CT,41.07870557,-73.46928905
DARIENIL.GOV,City,Non-Federal Agency,Darien,IL,41.75197632,-87.97394994
DAUGHERTYTOWNSHIP-PA.GOV,City,Non-Federal Agency,New Brighton,PA,40.73033748,-80.31005902
DAVIE-FL.GOV,City,Non-Federal Agency,Davie,FL,26.06286754,-80.23309785
DAWSONVILLE-GA.GOV,City,Non-Federal Agency,Dawsonville,GA,34.42120884,-84.11907901
DAYTON-ME.GOV,City,Non-Federal Agency,Dayton,ME,43.54971979,-70.57555984
DAYTONOHIO.GOV,City,Non-Federal Agency,Dayton,OH,39.75894568,-84.19160808
DECATUR-AL.GOV,City,Non-Federal Agency,Decatur,AL,34.60592645,-86.98333584
DECATURIL.GOV,City,Non-Federal Agency,Decatur,IL,39.84030746,-88.9547999
DECATURILLINOIS.GOV,City,Non-Federal Agency,Decatur,IL,39.84030746,-88.9547999
DECATURTX.GOV,City,Non-Federal Agency,Decatur,TX,33.23427716,-97.58613647
DEDHAM-MA.GOV,City,Non-Federal Agency,Dedham,MA,42.24176686,-71.16615943
DEERFIELDBEACHFL.GOV,City,Non-Federal Agency,Deerfield Beach,FL,26.31840886,-80.09976568
DEERFIELDMICHIGAN.GOV,City,Non-Federal Agency,Deerfield,MI,41.88893967,-83.77882821
DEERPARK-OH.GOV,City,Non-Federal Agency,Deer Park,OH,39.2053373,-84.39465706
DEERPARKTX.GOV,City,Non-Federal Agency,Deer Park,TX,29.70522682,-95.12381998
DEKORRA-WI.GOV,City,Non-Federal Agency,Poynette,WI,43.39025844,-89.40289714
DELAWARETOWNSHIPPA.GOV,City,Non-Federal Agency,Dingmans Ferry,PA,41.22008752,-74.87127914
DELRAYBEACHFL.GOV,City,Non-Federal Agency,Delray Beach,FL,26.46145567,-80.07281757
DELTA-CO.GOV,City,Non-Federal Agency,Delta,CO,38.7422069,-108.0689598
DELTAMI.GOV,City,Non-Federal Agency,Lansing,MI,42.73253831,-84.55552678
DELTONAFL.GOV,City,Non-Federal Agency,Deltona,FL,28.90053623,-81.2636684
DEMOPOLISAL.GOV,City,Non-Federal Agency,Demopolis,AL,32.51763926,-87.83639715
DENVERCO.GOV,City,Non-Federal Agency,Denver,CO,39.73914743,-104.9846994
DERBYCT.GOV,City,Non-Federal Agency,Derby,CT,41.3206491,-73.0889963
DESMOINESWA.GOV,City,Non-Federal Agency,Des Moines,WA,47.40176947,-122.3242888
DESOTOTEXAS.GOV,City,Non-Federal Agency,DeSoto,TX,32.58985785,-96.85694918
DETROITMI.GOV,City,Non-Federal Agency,Detroit,MI,42.3314259,-83.04574876
DEWITTAR.GOV,City,Non-Federal Agency,DeWitt,AR,34.29287573,-91.33789643
DEXTERMI.GOV,City,Non-Federal Agency,Dexter,MI,42.33836879,-83.88855997
DHAZ.GOV,City,Non-Federal Agency,Humboldt,AZ,34.50085627,-112.2373764
DIAMONDBARCA.GOV,City,Non-Federal Agency,Diamond Bar,CA,34.02861867,-117.8103388
DICKINSON-TX.GOV,City,Non-Federal Agency,Dickinson,TX,29.46078601,-95.05131791
DICKINSONTEXAS.GOV,City,Non-Federal Agency,Dickinson,TX,29.46078601,-95.05131791
DICKSONCITY-PA.GOV,City,Non-Federal Agency,Dickson City,PA,41.47146671,-75.6076883
DIGHTON-MA.GOV,City,Non-Federal Agency,Dighton,MA,41.81398982,-71.1203175
DISCOVERWAUKESHA-WI.GOV,City,Non-Federal Agency,Waukesha,WI,43.01167554,-88.23147559
DONALDOREGON.GOV,City,Non-Federal Agency,Donald,OR,45.22233837,-122.8392591
DONALDSONVILLE-LA.GOV,City,Non-Federal Agency,Donaldsonville,LA,30.1010297,-90.99287605
DORAL-FL.GOV,City,Non-Federal Agency,Doral,FL,25.81953813,-80.3553295
DORALPD-FL.GOV,City,Non-Federal Agency,Doral,FL,25.81953813,-80.3553295
DOUGLASAZ.GOV,City,Non-Federal Agency,Douglas,AZ,31.34454835,-109.5453372
DOUGLASVILLEGA.GOV,City,Non-Federal Agency,Douglasville,GA,33.75149727,-84.74770923
DREW-MS.GOV,City,Non-Federal Agency,Drew,MS,33.80955561,-90.52647893
DRUIDHILLSKY.GOV,City,Non-Federal Agency,Louisville,KY,38.2542387,-85.75940845
DUBLIN-CA.GOV,City,Non-Federal Agency,Dublin,CA,37.70214669,-121.9357887
DUBLINCA.GOV,City,Non-Federal Agency,Dublin,CA,37.70214669,-121.9357887
DUBLINOHIOUSA.GOV,City,Non-Federal Agency,Dublin,OH,40.09922798,-83.11407969
DUBOISPA.GOV,City,Non-Federal Agency,DuBois,PA,50.95861834,4.602405531
DULUTHMN.GOV,City,Non-Federal Agency,Duluth,MN,46.78326785,-92.10657672
DUMASTX.GOV,City,Non-Federal Agency,Dumas,TX,35.86558967,-101.9732382
DUMFRIESVA.GOV,City,Non-Federal Agency,Dumfries,VA,38.56761789,-77.32803864
DUMONTNJ.GOV,City,Non-Federal Agency,Dumont,NJ,40.94064882,-73.99680874
DUNCANOK.GOV,City,Non-Federal Agency,Duncan,OK,34.50229614,-97.95780799
DUNCANVILLETX.GOV,City,Non-Federal Agency,Duncanville,TX,32.65179935,-96.90833912
DUNDEEVILLAGEMI.GOV,City,Non-Federal Agency,Dundee,MI,41.9572661,-83.65965628
DUNELLEN-NJ.GOV,City,Non-Federal Agency,Dunellen,NJ,40.589266,-74.47181809
DUNMOREPA.GOV,City,Non-Federal Agency,Dunmore,PA,41.4197978,-75.6324091
DUNSTABLE-MA.GOV,City,Non-Federal Agency,Dunstable,MA,42.67508741,-71.48283683
DUNWOODYGA.GOV,City,Non-Federal Agency,Dunwoody,GA,33.94620849,-84.33464588
DUPONTWA.GOV,City,Non-Federal Agency,DuPont,WA,47.09675954,-122.631238
DURHAMNC.GOV,City,Non-Federal Agency,Durham,NC,35.99402627,-78.89861977
DUSHOREPA.GOV,City,Non-Federal Agency,Dushore,PA,41.52423803,-76.40076992
DUTCHESSNY.GOV,City,Non-Federal Agency,Poughkeepsie,NY,41.7003659,-73.92096797
DUVALLWA.GOV,City,Non-Federal Agency,Duvall,WA,47.74231725,-121.9856758
DYERSBURGTN.GOV,City,Non-Federal Agency,Dyersburg,TN,36.03451818,-89.38562767
EAGARAZ.GOV,City,Non-Federal Agency,Eagar,AZ,34.11115935,-109.2914788
EAGLE-WI.GOV,City,Non-Federal Agency,Eagle,WI,42.87945927,-88.47425604
EAGLELAKE-TX.GOV,City,Non-Federal Agency,Eagle Lake,TX,29.58967708,-96.33357812
EASTBOROUGH-KS.GOV,City,Non-Federal Agency,Eastborough,KS,37.68806744,-97.26365909
EASTCOVENTRY-PA.GOV,City,Non-Federal Agency,Pottstown,PA,40.24536601,-75.64962907
EASTHAMPTONCT.GOV,City,Non-Federal Agency,East Hampton,CT,41.57592944,-72.50258584
EASTHAMPTONNY.GOV,City,Non-Federal Agency,Amagansett,NY,40.97370738,-72.14368868
EASTHAMPTONVILLAGENY.GOV,City,Non-Federal Agency,East Hampton,NY,40.96342579,-72.18479704
EASTHARTFORDCT.GOV,City,Non-Federal Agency,East Hartford,CT,41.78231713,-72.61202962
EASTKINGSTONNH.GOV,City,Non-Federal Agency,East Kingston,NH,42.92563867,-71.01671869
EASTLANDTEXAS.GOV,City,Non-Federal Agency,Eastland,TX,32.40151806,-98.8175557
EASTLONGMEADOWMA.GOV,City,Non-Federal Agency,East Longmeadow,MA,42.06453658,-72.51258845
EASTMOUNTAINTX.GOV,City,Non-Federal Agency,East Mountain,TX,32.5937455,-94.85548629
EASTON-PA.GOV,City,Non-Federal Agency,Easton,PA,40.6884282,-75.22072713
EASTONCT.GOV,City,Non-Federal Agency,Easton,CT,41.25286711,-73.29733681
EASTONMD.GOV,City,Non-Federal Agency,Easton,MD,38.77427556,-76.07632621
EASTORANGE-NJ.GOV,City,Non-Federal Agency,East ORange,NJ,40.7673197,-74.20486578
EASTPALESTINE-OH.GOV,City,Non-Federal Agency,East Palestine,OH,40.83394978,-80.54034858
EASTPORT-ME.GOV,City,Non-Federal Agency,Eastport,ME,44.90618742,-66.98997651
EASTRIDGETN.GOV,City,Non-Federal Agency,East Ridge,TN,35.01423821,-85.25189849
EASTTROYWI.GOV,City,Non-Federal Agency,East Troy,WI,42.78528713,-88.40509718
EASTVALECA.GOV,City,Non-Federal Agency,Eastvale,CA,33.96357695,-117.5641792
EASTWINDSOR-CT.GOV,City,Non-Federal Agency,Broad Brook,CT,41.91231959,-72.54508906
EATONVILLE-WA.GOV,City,Non-Federal Agency,Eatonville,WA,46.8673294,-122.2664959
EAUCLAIREVILLAGE-MI.GOV,City,Non-Federal Agency,Eau Claire,MI,41.98504664,-86.29973851
EAUCLAIREWI.GOV,City,Non-Federal Agency,Eau Claire,WI,44.81134934,-91.49848718
ECORSEMI.GOV,City,Non-Federal Agency,ECORSE,MI,42.24447562,-83.14575688
EDDINGTONMAINE.GOV,City,Non-Federal Agency,Eddington,ME,44.82617552,-68.69336786
EDENNY.GOV,City,Non-Federal Agency,Eden,NY,41.28870643,-74.49432959
EDGEWATERFL.GOV,City,Non-Federal Agency,Edgewater,FL,28.98887689,-80.90227847
EDGEWOOD-FL.GOV,City,Non-Federal Agency,Edgewood,FL,28.4861185,-81.37228876
EDGEWOOD-NM.GOV,City,Non-Federal Agency,Edgewood,NM,35.06143902,-106.1914069
EDINAMN.GOV,City,Non-Federal Agency,Edina,MN,44.88968739,-93.34994689
EDMONDS-WA.GOV,City,Non-Federal Agency,Edmonds,WA,47.81064819,-122.3773571
EDMONDSWA.GOV,City,Non-Federal Agency,Edmonds,WA,47.81064819,-122.3773571
EDMONSTONMD.GOV,City,Non-Federal Agency,Edmonston,MD,38.94677675,-76.93108836
EHALERTCT.GOV,City,Non-Federal Agency,East Hartford,CT,41.78231713,-72.61202962
EHAMPTONNY.GOV,City,Non-Federal Agency,East Hampton,NY,40.96342579,-72.18479704
ELKHARTLAKEWI.GOV,City,Non-Federal Agency,Elkhart Lake,WI,43.83332963,-88.01786604
ELKOCITYNV.GOV,City,Non-Federal Agency,Elko,NV,40.83241992,-115.7631195
ELKRIVERMN.GOV,City,Non-Federal Agency,Elk River,MN,45.30384864,-93.56717861
ELKTONVA.GOV,City,Non-Federal Agency,Elkton,VA,38.40789557,-78.62362667
ELKTOWNSHIPNJ.GOV,City,Non-Federal Agency,Monroeville,NJ,39.62899721,-75.15934808
ELLAGO-TX.GOV,City,Non-Federal Agency,El Lago,TX,29.5635569,-95.04520745
ELLIJAY-GA.GOV,City,Non-Federal Agency,Ellijay,GA,34.69480706,-84.4821473
ELLINGTON-CT.GOV,City,Non-Federal Agency,Ellington,CT,41.90398633,-72.46980624
ELLSWORTHMAINE.GOV,City,Non-Federal Agency,Ellsworth,ME,44.54340712,-68.41945916
ELMIRAGE-AZ.GOV,City,Non-Federal Agency,El Mirage,AZ,33.61308955,-112.3245966
ELMIRAGEAZ.GOV,City,Non-Federal Agency,El Mirage,AZ,33.61308955,-112.3245966
ELMONTECA.GOV,City,Non-Federal Agency,El Monte,CA,34.06861563,-118.027566
ELMWOODPLACE-OH.GOV,City,Non-Federal Agency,Cincinnati,OH,39.16199715,-84.45688654
ELOYAZ.GOV,City,Non-Federal Agency,Eloy,AZ,32.75589761,-111.5548364
ELPASOTEXAS.GOV,City,Non-Federal Agency,El Paso,TX,31.7587186,-106.4869271
EMERALDBAY-TX.GOV,City,Non-Federal Agency,Bullard,TX,32.13987978,-95.32022755
EMMITSBURGMD.GOV,City,Non-Federal Agency,Emmitsburg,MD,39.70453651,-77.32692723
EMPORIA-KANSAS.GOV,City,Non-Federal Agency,Emporia,KS,38.40389992,-96.18165811
ENCINITASCA.GOV,City,Non-Federal Agency,Encinitas,CA,33.03698767,-117.2919758
ENCINITASCALIFORNIA.GOV,City,Non-Federal Agency,Encinitas,CA,33.03698767,-117.2919758
ENFIELD-CT.GOV,City,Non-Federal Agency,Enfield,CT,41.97620942,-72.59175892
ENGLEWOODCO.GOV,City,Non-Federal Agency,Englewood,CO,39.64776954,-104.9877592
ENNISTX.GOV,City,Non-Federal Agency,Ennis,TX,32.32930847,-96.62526924
ENON-OH.GOV,City,Non-Federal Agency,Enon,OH,39.8781176,-83.93687668
ENTERPRISEAL.GOV,City,Non-Federal Agency,Enterprise,AL,31.31516596,-85.85521845
ERIECO.GOV,City,Non-Federal Agency,Erie,CO,40.05025883,-105.0499796
ESPANOLANM.GOV,City,Non-Federal Agency,Espanola,NM,35.99112853,-106.0805772
ESSEXCT.GOV,City,Non-Federal Agency,Essex,CT,41.35342869,-72.39063577
ESTERO-FL.GOV,City,Non-Federal Agency,Estero,FL,26.43813874,-81.8067477
ETON-GA.GOV,City,Non-Federal Agency,Eton,GA,34.8250795,-84.76326885
EUGENE-OR.GOV,City,Non-Federal Agency,Eugene,OR,44.05206872,-123.0867461
EULESSTX.GOV,City,Non-Federal Agency,Euless,TX,32.83706591,-97.08194722
EUREKA-MT.GOV,City,Non-Federal Agency,Eureka,MT,48.8799558,-115.0534965
EUREKASPRINGSAR.GOV,City,Non-Federal Agency,Eureka Springs,AR,36.40117714,-93.73796995
EVANSCOLORADO.GOV,City,Non-Federal Agency,Evans,CO,40.37636739,-104.6921894
EVERETTWA.GOV,City,Non-Federal Agency,Everett,WA,47.97897825,-122.2020796
EVESHAM-NJ.GOV,City,Non-Federal Agency,Marlton,NJ,39.89121594,-74.92182766
EXETERNH.GOV,City,Non-Federal Agency,Exeter,NH,42.98147872,-70.9478298
FABIUS-NY.GOV,City,Non-Federal Agency,Fabius,NY,42.83506621,-75.98602822
FAIRFAX-VT.GOV,City,Non-Federal Agency,Fairfax,VT,44.6653283,-73.00874592
FAIRFAXVA.GOV,City,Non-Federal Agency,Fairfax,VA,38.84621967,-77.30636856
FAIRFIELDOH.GOV,City,Non-Federal Agency,Fairfield,OH,39.34588683,-84.56049884
FAIRHOPE-AL.GOV,City,Non-Federal Agency,Fairhope,AL,30.52296626,-87.90332871
FAIRMONTWV.GOV,City,Non-Federal Agency,Fairmont,WV,39.48507748,-80.14257938
FAIRMOUNTHEIGHTSMD.GOV,City,Non-Federal Agency,Fairmount Heights,MD,38.90094831,-76.91552874
FAIRVIEWNC.GOV,City,Non-Federal Agency,Monroe,NC,34.98542727,-80.54950977
FAIRVIEWOREGON.GOV,City,Non-Federal Agency,Fairview,OR,45.53844882,-122.4339755
FALLCREEKWI.GOV,City,Non-Federal Agency,Fall Creek,WI,44.76356808,-91.27709783
FALLONNEVADA.GOV,City,Non-Federal Agency,Fallon,NV,39.47352701,-118.777366
FALLSCHURCHCITYVA.GOV,City,Non-Federal Agency,Falls Church,VA,38.88232897,-77.17108806
FALLSCHURCHVA.GOV,City,Non-Federal Agency,Falls Church,VA,38.88232897,-77.17108806
FALLSCITYOREGON.GOV,City,Non-Federal Agency,Falls City,OR,44.86622647,-123.4359376
FARGO-ND.GOV,City,Non-Federal Agency,Fargo,ND,46.87718802,-96.78979714
FARGOND.GOV,City,Non-Federal Agency,Fargo,ND,46.87718802,-96.78979714
FARMERSBRANCHTX.GOV,City,Non-Federal Agency,Farmers Branch,TX,32.92650897,-96.89611821
FARMINGTON-MO.GOV,City,Non-Federal Agency,Farmington,MO,37.78087621,-90.42178672
FARMVILLENC.GOV,City,Non-Federal Agency,Farmville,NC,35.57070833,-79.22001725
FARRAGUT-TN.GOV,City,Non-Federal Agency,Farragut,TN,35.88451949,-84.15352796
FAYETTEVILLE-AR.GOV,City,Non-Federal Agency,Fayetteville,AR,36.06257769,-94.15742723
FAYETTEVILLEFIRST-AR.GOV,City,Non-Federal Agency,Fayetteville,AR,36.06257769,-94.15742723
FAYETTEVILLENC.GOV,City,Non-Federal Agency,Fayetteville,NC,35.0526558,-78.87835806
FAYETTEVILLENY.GOV,City,Non-Federal Agency,Fayetteville,NY,43.02978643,-76.0043596
FEDERALWAYWA.GOV,City,Non-Federal Agency,Federal Way ,WA,47.32231552,-122.3126168
FERNDALEMI.GOV,City,Non-Federal Agency,Ferndale,MI,42.46058694,-83.13464737
FERRISTEXAS.GOV,City,Non-Federal Agency,Ferris,TX,32.5340268,-96.66554967
FIRESTONECO.GOV,City,Non-Federal Agency,Firestone,CO,40.11247931,-104.9366392
FISHKILL-NY.GOV,City,Non-Federal Agency,Fishkill,NY,41.53564902,-73.89902792
FITCHBURGMA.GOV,City,Non-Federal Agency,Fitchburg,MA,42.58341704,-71.80229948
FITCHBURGWI.GOV,City,Non-Federal Agency,Fitchburg,WI,42.96082555,-89.4698377
FITZWILLIAM-NH.GOV,City,Non-Federal Agency,Fitzwilliam,NH,42.78063904,-72.14174936
FLAGSTAFFAZ.GOV,City,Non-Federal Agency,Flagstaff,AZ,35.1980694,-111.6512674
FLATONIATX.GOV,City,Non-Federal Agency,Flatonia,TX,29.68772788,-97.10859835
FLORENCE-KY.GOV,City,Non-Federal Agency,Florence,KY,38.99894962,-84.62660698
FLORENCE-NJ.GOV,City,Non-Federal Agency,Florence,NJ,39.73427887,-74.91821898
FLORENCEAZ.GOV,City,Non-Federal Agency,Florence,AZ,33.03144866,-111.3873388
FLORESVILLETX.GOV,City,Non-Federal Agency,Floresville,TX,29.13357955,-98.1561189
FLORIDACITYFL.GOV,City,Non-Federal Agency,Florida City,FL,25.44788911,-80.47921701
FORESTGROVE-OR.GOV,City,Non-Federal Agency,FOREST GROVE,OR,45.51983847,-123.110657
FORESTHEIGHTSMD.GOV,City,Non-Federal Agency,Forest Heights,MD,38.80955692,-76.99802892
FORESTPARKOK.GOV,City,Non-Federal Agency,Forest Park,OK,35.50422673,-97.4461494
FORSYTH-IL.GOV,City,Non-Federal Agency,Forsyth,IL,39.93253577,-88.95118672
FORTCOLLINS-CO.GOV,City,Non-Federal Agency,Fort Collins,CO,40.58525685,-105.0844196
FORTLUPTON-CO.GOV,City,Non-Federal Agency,Fort Lupton,CO,40.08470777,-104.8130262
FORTLUPTONCO.GOV,City,Non-Federal Agency,Fort Lupton,CO,40.08470777,-104.8130262
FORTMADISON-IA.GOV,City,Non-Federal Agency,Fort Madison,IA,40.6297579,-91.31514645
FORTMILLSC.GOV,City,Non-Federal Agency,Fort Mill,SC,35.00736732,-80.94507867
FORTMYERSBEACHFL.GOV,City,Non-Federal Agency,Fort Myers Beach,FL,26.45201551,-81.94813866
FORTSMITHAR.GOV,City,Non-Federal Agency,Fort Smith,AR,35.38591873,-94.39854733
FORTWORTH-TEXAS.GOV,City,Non-Federal Agency,Fort Worth,TX,32.72540832,-97.32084902
FORTWORTH-TX.GOV,City,Non-Federal Agency,Fort Worth,TX,32.72540832,-97.32084902
FORTWORTHTEXAS.GOV,City,Non-Federal Agency,Fort Worth,TX,32.72540832,-97.32084902
FOSTORIAOHIO.GOV,City,Non-Federal Agency,Fostoria,OH,41.15699862,-83.41686683
FOXBOROUGHMA.GOV,City,Non-Federal Agency,Foxborough,MA,42.06537801,-71.24782718
FRAMINGHAMMA.GOV,City,Non-Federal Agency,Framingham,MA,42.27925753,-71.41616624
FRANCESTOWN-NH.GOV,City,Non-Federal Agency,Francestown,NH,42.98757568,-71.81257657
FRANKFORT-IN.GOV,City,Non-Federal Agency,Frankfort,IN,40.27947749,-86.51083727
FRANKLIN-NJ.GOV,City,Non-Federal Agency,Someret,NJ,40.49759563,-74.48848911
FRANKLIN-TN.GOV,City,Non-Federal Agency,Franklin,TN,35.92505639,-86.8688885
FRANKLINNJ.GOV,City,Non-Federal Agency,Somerset,NJ,40.49759563,-74.48848911
FRANKLINPA.GOV,City,Non-Federal Agency,Franklin,PA,41.39783975,-79.83143649
FRANKLINTN.GOV,City,Non-Federal Agency,Franklin,TN,35.92505639,-86.8688885
FRANKLINWI.GOV,City,Non-Federal Agency,Franklin,WI,42.88862946,-88.03841572
FREDENBERGTWP-MN.GOV,City,Non-Federal Agency,Duluth,MN,46.78326785,-92.10657672
FREDERICKCO.GOV,City,Non-Federal Agency,Frederick,CO,40.09914699,-104.9371972
FREDERICKOK.GOV,City,Non-Federal Agency,Frederick,OK,34.39202893,-99.01840888
FREDERICKSBURGVA.GOV,City,Non-Federal Agency,Fredericksburg,VA,38.30317636,-77.46053838
FREEHOLDBOROUGHNJ.GOV,City,Non-Federal Agency,Freehold,NJ,40.26010671,-74.27375917
FREEPORTNY.GOV,City,Non-Federal Agency,Freeport,NY,40.65759693,-73.58317845
FREETOWNMA.GOV,City,Non-Federal Agency,Assonet,MA,41.79593742,-71.06781615
FREMONT.GOV,City,Non-Federal Agency,Fremont,CA,37.54826935,-121.9885691
FREMONTNC.GOV,City,Non-Federal Agency,Fremont,NC,35.54543858,-77.97470775
FREMONTNE.GOV,City,Non-Federal Agency,Fremont,NE,41.4333281,-96.49807903
FRENCHSETTLEMENT-LA.GOV,City,Non-Federal Agency,French Settlement,LA,30.29519647,-90.7950961
FRESNO.GOV,City,Non-Federal Agency,Fresno,CA,36.74772739,-119.7723672
FRIDLEYMN.GOV,City,Non-Federal Agency,Fridley,MN,45.08607696,-93.26327558
FRIENDSHIPHEIGHTSMD.GOV,City,Non-Federal Agency,Chevy Chase,MD,38.97121858,-77.07636697
FRISCOTEXAS.GOV,City,Non-Federal Agency,Frisco,TX,33.15066558,-96.82360714
FRISCOTX.GOV,City,Non-Federal Agency,Frisco,TX,33.15066558,-96.82360714
FROMBERG-MT.GOV,City,Non-Federal Agency,Fromberg,MT,45.3921668,-108.9065289
FRONTROYAL-VA.GOV,City,Non-Federal Agency,Front Royal,VA,38.91816829,-78.19443675
FRONTROYALVA.GOV,City,Non-Federal Agency,Front Royal,VA,38.91816829,-78.19443675
FRUITPORTTOWNSHIP-MI.GOV,City,Non-Federal Agency,Fruitport,MI,43.13195886,-86.15477937
FULSHEARTEXAS.GOV,City,Non-Federal Agency,Fulshear,TX,29.68995968,-95.89967713
GAHANNA.GOV,City,Non-Federal Agency,Gahanna,OH,40.01922958,-82.87933553
GALENAKS.GOV,City,Non-Federal Agency,GALENA,KS,37.07589677,-94.63966744
GALENAOHIO.GOV,City,Non-Federal Agency,Galena,OH,40.2150567,-82.87989798
GALESBURG-IL.GOV,City,Non-Federal Agency,Galesburg,IL,40.94781668,-90.37123821
GALLATIN-TN.GOV,City,Non-Federal Agency,Gallatin,TN,36.38837578,-86.44665947
GALLAWAYTN.GOV,City,Non-Federal Agency,Gallaway,TN,35.32591656,-89.61618721
GALLOWAYTWP-NJ.GOV,City,Non-Federal Agency,Galloway,NJ,39.48787623,-74.47597572
GALLUPNM.GOV,City,Non-Federal Agency,GALLUP,NM,35.52807912,-108.742577
GALVAIL.GOV,City,Non-Federal Agency,Galva,IL,41.16753668,-90.04260987
GALVESTONTX.GOV,City,Non-Federal Agency,Galveston,TX,29.30134716,-94.79769792
GARDENCITY-GA.GOV,City,Non-Federal Agency,Garden City,GA,32.11436704,-81.15399963
GARDNERKANSAS.GOV,City,Non-Federal Agency,Gardner,KS,38.81083931,-94.92718742
GARDNERVILLE-NV.GOV,City,Non-Federal Agency,Gardnerville,NV,38.94129623,-119.7496172
GARLANDTX.GOV,City,Non-Federal Agency,Garland,TX,32.91261871,-96.63887603
GARNERNC.GOV,City,Non-Federal Agency,Garner,NC,35.71125786,-78.61416851
GARRETTPARK-MD.GOV,City,Non-Federal Agency,Garrett Park,MD,39.03815914,-77.09302899
GARRETTPARKMD.GOV,City,Non-Federal Agency,Garrett Park,MD,39.03815914,-77.09302899
GATLINBURGTN.GOV,City,Non-Federal Agency,Gatlinburg,TN,35.71425909,-83.51015705
